DepComN,NomCN,DepComA,NomCA,annee
21623,Tart,21621,Tart-l'Abbaye ,2018
22093,Lamballe-Armor,22093,Lamballe ,2018
22093,Lamballe-Armor,22154,Morieux ,2018
22093,Lamballe-Armor,22173,Planguenoual ,2018
22206,Châtelaudren-Plouagat,22206,Plouagat,2018
22206,Châtelaudren-Plouagat,22038,Châtelaudren  ,2018
22219,Plouguenast-Langast  ,22219,Plouguenast ,2018
22219,Plouguenast-Langast  ,22100,Langast,2018
22264,La Roche-Jaudy,22264,La Roche-Derrien ,2018
22264,La Roche-Jaudy,22078,Hengoat ,2018
22264,La Roche-Jaudy,22247,Pommerit-Jaudy  ,2018
22264,La Roche-Jaudy,22253,Pouldouran  ,2018
23109,Linard-Malval ,23109,Linard,2018
23109,Linard-Malval ,23121,Malval ,2018
23189,Saint-Dizier-Masbaraud,23189,Saint-Dizier-Leyrenne ,2018
23189,Saint-Dizier-Masbaraud,23126,Masbaraud-Mérignat ,2018
24064,Brantôme en Périgord ,24064,Brantôme en Périgord ,2018
24064,Brantôme en Périgord ,24079,Cantillac  ,2018
24064,Brantôme en Périgord ,24170,Eyvirat  ,2018
24064,Brantôme en Périgord ,24198,La Gonterie-Boulouneix ,2018
24064,Brantôme en Périgord ,24391,Saint-Crépin-de-Richemont  ,2018
24064,Brantôme en Périgord ,24530,Sencenac-Puy-de-Fourches ,2018
24064,Brantôme en Périgord ,24561,Valeuil  ,2018
24172,Les Eyzies,24172,Les Eyzies-de-Tayac-Sireuil ,2018
24172,Les Eyzies,24249,Manaurie ,2018
24172,Les Eyzies,24389,Saint-Cirq ,2018
24259,Eyraud-Crempse-Maurens,24259,Maurens,2018
24259,Eyraud-Crempse-Maurens,24233,Laveyssière ,2018
24259,Eyraud-Crempse-Maurens,24427,Saint-Jean-d'Eyraud ,2018
24259,Eyraud-Crempse-Maurens,24431,Saint-Julien-de-Crempse ,2018
24364,Coly-Saint-Amand,24364,Saint-Amand-de-Coly ,2018
24364,Coly-Saint-Amand,24127,Coly,2018
24423,Saint-Julien-Innocence-Eulalie,24423,Sainte-Innocence ,2018
24423,Saint-Julien-Innocence-Eulalie,24402,Sainte-Eulalie-d'Eymet ,2018
24423,Saint-Julien-Innocence-Eulalie,24433,Saint-Julien-d'Eymet ,2018
24534,Sigoulès-et-Flaugeac ,24534,Sigoulès,2018
24534,Sigoulès-et-Flaugeac ,24181,Flaugeac,2018
25156,Pays-de-Clerval ,25156,Pays de Clerval ,2018
25156,Pays-de-Clerval ,25140,Chaux-lès-Clerval ,2018
25245,Fontain  ,25245,Fontain  ,2018
25245,Fontain  ,25027,Arguel  ,2018
25558,Tarcenay-Foucherans,25558,Tarcenay,2018
25558,Tarcenay-Foucherans,25250,Foucherans,2018
26086,Châtillon-en-Diois ,26086,Châtillon-en-Diois ,2018
26086,Châtillon-en-Diois ,26354,Treschenu-Creyers ,2018
26210,Valherbasse,26210,Montrigaud ,2018
26210,Valherbasse,26184,Miribel ,2018
26210,Valherbasse,26297,Saint-Bonnet-de-Valclérieux ,2018
27070,Frenelles-en-Vexin,27070,Boisemont  ,2018
27070,Frenelles-en-Vexin,27175,Corny  ,2018
27070,Frenelles-en-Vexin,27270,Fresne-l'Archevêque ,2018
27198,Mesnils-sur-Iton,27198,Mesnils-sur-Iton ,2018
27198,Mesnils-sur-Iton,27297,Grandvilliers  ,2018
27198,Mesnils-sur-Iton,27416,Buis-sur-Damville ,2018
27198,Mesnils-sur-Iton,27491,Roman  ,2018
27263,Le Perrey,27263,Fourmetot ,2018
27263,Le Perrey,27581,Saint-Ouen-des-Champs ,2018
27263,Le Perrey,27607,Saint-Thurien  ,2018
27516,Treis-Sants-en-Ouche,27516,Saint-Aubin-le-Vertueux ,2018
27516,Treis-Sants-en-Ouche,27523,Saint-Clair-d'Arcey ,2018
27516,Treis-Sants-en-Ouche,27600,Saint-Quentin-des-Isles ,2018
27541,Le Mesnil-Saint-Jean,27541,Saint-Georges-du-Mesnil ,2018
