id,codeCommune,libelleCommune,codeDepartement,libelleDepartement,actual,dateEffet,effet,mod,tmod,libelle,modification,etat,langue,typeProduit,rubrique,tncc,typeModification
5283083,01182,Groslée,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Groslée devient commune déléguée au sein de Groslée-Saint-Benoit (01338) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283084,01187,Hotonnes,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Hotonnes devient commune déléguée (chef-lieu) au sein de Haut Valromey (01187) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283085,01187,Haut Valromey,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,"Création de la commune nouvelle de Haut Valromey en lieu et place des communes du Grand-Abergement (01176), d'Hotonnes (01187), du Petit-Abergement (01292) et de Songieu (01409) devenues déléguées.",Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283086,01187,Hotonnes,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,ME,"Hotonnes passe de l'arrondissement de Nantua (014) a l'arrondissement de Belley (011), suite à création de commune nouvelle.","Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
5283087,01204,Lalleyriat,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Lalleyriat devient commune déléguée (chef-lieu) au sein du Poizat-Lalleyriat (01204) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283088,01204,Poizat-Lalleyriat,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Création de la commune nouvelle du Poizat-Lalleyriat en lieu et place des communes de Lalleyriat (01204) et du Poizat (01300) devenues déléguées.,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283089,01271,Nattages,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Nattages devient commune déléguée au sein de Parves et Nattages (01286) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283090,01286,Parves,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Parves devient commune déléguée (chef-lieu) au sein de Parves et Nattages (01286) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283091,01286,Parves et Nattages,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Création de la commune nouvelle de Parves et Nattages en lieu et place des communes de Nattages (01271) et de Parves (01286) devenues déléguées.,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283092,01292,Petit-Abergement,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Le Petit-Abergement devient commune déléguée au sein de Haut Valromey (01187) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283093,01292,Petit-Abergement,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,ME,"Le Petit-Abergement passe de l'arrondissement de Nantua (014) a l'arrondissement de Belley (011), suite à création de commune nouvelle.","Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
5283094,01300,Poizat,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Le Poizat devient commune déléguée au sein du Poizat-Lalleyriat (01204) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283095,01312,Pressiat,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Pressiat devient commune déléguée au sein de Val-Revermont (01426) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283096,01338,Saint-Benoît,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Saint-Benoît devient commune déléguée (chef-lieu) au sein de Groslée-Saint-Benoit (01338) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283097,01338,Groslée-Saint-Benoit,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Création de la commune nouvelle de Groslée-Saint-Benoit en lieu et place des communes de Groslée (01182) et de Saint-Benoît (01338) devenues déléguées.,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283098,01340,Saint-Bois,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Saint-Bois devient commune déléguée au sein d'Arboys en Bugey (01015) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283099,01409,Songieu,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Songieu devient commune déléguée au sein de Haut Valromey (01187) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283100,01426,Treffort,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Treffort devient commune déléguée (chef-lieu) au sein de Val-Revermont (01426) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5283101,01426,Val-Revermont,01,Ain,,2016-01-01T01:00:00.000Z,2016-01-01T00:00:00.000+00:00,,MG,Création de la commune nouvelle de Val-Revermont en lieu et place des communes de Pressiat (01312) et de Treffort-Cuisiat (01426).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5282284,01283,Oyonnax,01,Ain,,2015-01-01T01:00:00.000Z,2015-01-01T00:00:00.000+00:00,,MF,La fusion d'Oyonnax avec Veyziat (01440) est transformé en fusion simple.,Toutes les suppressions / fusions,,FR,communeHistorique,metadonnees,,MF
5282285,01440,Veyziat,01,Ain,,2015-01-01T01:00:00.000Z,2015-01-01T00:00:00.000+00:00,,MF,Le rattachement de Veyziat à Oyonnax (01283) est transformé en fusion simple.,Toutes les suppressions / fusions,,FR,communeHistorique,metadonnees,,MF
