loc_id,old_villeId,new_villeId,old_NCCENR,new_NCCENR
1388,37555.0,31666,Paris 07,Paris 7e Arrondissement
1391,33304.0,37390,Champigny-sur-Marne,Champigny-sur-Marne
1392,1902.0,2098,Saint-Laurent-du-Var,Saint-Laurent-du-Var
1393,1902.0,2098,Saint-Laurent-du-Var,Saint-Laurent-du-Var
1394,33485.0,37570,Puiseux-en-France,Puiseux-en-France
1395,33485.0,37570,Puiseux-en-France,Puiseux-en-France
1397,33485.0,37570,Puiseux-en-France,Puiseux-en-France
1400,33442.0,37527,Louvres,Louvres
1402,1902.0,2098,Saint-Laurent-du-Var,Saint-Laurent-du-Var
1405,33442.0,37527,Louvres,Louvres
1411,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
1414,33500.0,37585,Saint-Witz,Saint-Witz
1417,33442.0,37527,Louvres,Louvres
1419,36589.0,31671,Paris 12e arrondissement,Paris 12e Arrondissement
1423,33522.0,37607,Villaines-sous-Bois,Villaines-sous-Bois
1428,33485.0,37570,Puiseux-en-France,Puiseux-en-France
1429,33500.0,37585,Saint-Witz,Saint-Witz
1431,29396.0,33035,Ecquevilly,Ecquevilly
1442,33442.0,37527,Louvres,Louvres
1443,33442.0,37527,Louvres,Louvres
1446,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
1449,33442.0,37527,Louvres,Louvres
1451,33485.0,37570,Puiseux-en-France,Puiseux-en-France
1452,33485.0,37570,Puiseux-en-France,Puiseux-en-France
1457,33372.0,37458,Bouffémont,Bouffémont
1461,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
1468,36580.0,31662,Paris 3e arrondissement,Paris 3e Arrondissement
1471,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
1472,10013.0,11115,Vernouillet,Vernouillet
1474,33442.0,37527,Louvres,Louvres
1478,33523.0,37608,Villeron,Villeron
1481,33523.0,37608,Villeron,Villeron
1484,29453.0,33096,Louveciennes,Louveciennes
1492,6583.0,7280,Chenôve,Chenôve
1494,33517.0,37602,Vémars,Vémars
1495,33517.0,37602,Vémars,Vémars
1496,6583.0,7280,Chenôve,Chenôve
1497,7155.0,8030,Hermitage-Lorge,Plœuc-L'Hermitage
1498,36593.0,31675,Paris 16e arrondissement,Paris 16e Arrondissement
1502,33249.0,37334,Rueil-Malmaison,Rueil-Malmaison
1503,37563.0,31674,Paris 15,Paris 15e Arrondissement
1504,37563.0,31674,Paris 15,Paris 15e Arrondissement
1505,33290.0,37375,Saint-Ouen,Saint-Ouen-sur-Seine
1506,37563.0,31674,Paris 15,Paris 15e Arrondissement
1507,33290.0,37375,Saint-Ouen,Saint-Ouen-sur-Seine
1508,29530.0,33177,Saint-Germain-en-Laye,Saint-Germain-en-Laye
1509,29377.0,33013,Chatou,Chatou
1510,33098.0,37171,Draveil,Draveil
1511,33290.0,37375,Saint-Ouen,Saint-Ouen-sur-Seine
1512,33290.0,37375,Saint-Ouen,Saint-Ouen-sur-Seine
1513,33380.0,37466,Cergy,Cergy
1514,37563.0,31674,Paris 15,Paris 15e Arrondissement
1515,37563.0,31674,Paris 15,Paris 15e Arrondissement
1516,37563.0,31674,Paris 15,Paris 15e Arrondissement
1521,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
1522,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
1544,33442.0,37527,Louvres,Louvres
1551,29360.0,32995,Bougival,Bougival
1555,37563.0,31674,Paris 15,Paris 15e Arrondissement
1558,33442.0,37527,Louvres,Louvres
1559,33292.0,37377,Stains,Stains
1560,33292.0,37377,Stains,Stains
1561,33292.0,37377,Stains,Stains
1562,33517.0,37602,Vémars,Vémars
1563,33517.0,37602,Vémars,Vémars
1565,33517.0,37602,Vémars,Vémars
1567,33442.0,37527,Louvres,Louvres
1572,33523.0,37608,Villeron,Villeron
